city,country,date,temperature_avg,temperature_min,temperature_max,precipitation,wind_speed,pressure,no2,o3,pm10,pm25
Seoul,KR,2025-04-01,10.3,3.9,16.8,0.0,6.5,1022.1,0.0361,0.0374,49.7,30.6
Seoul,KR,2025-04-02,8.5,5.2,14.4,2.2,8.4,1018.7,0.0259,0.0403,42.5,27.2
Seoul,KR,2025-04-03,10.2,3.6,16.7,0.0,8.6,1019.5,0.0292,0.041,45.0,29.2
Seoul,KR,2025-04-04,11.2,6.0,16.1,0.0,7.6,1019.0,0.0232,0.0344,26.7,17.3
Seoul,KR,2025-04-05,7.7,7.6,9.5,24.1,6.7,1012.1,0.0144,0.046,30.8,16.1
Seoul,KR,2025-04-06,9.9,6.9,15.5,0.0,9.6,1013.9,0.0225,0.0507,53.8,25.3
Seoul,KR,2025-04-07,14.9,5.5,20.0,0.0,9.8,1015.6,0.0189,0.0566,62.2,26.2
Seoul,KR,2025-04-08,13.1,10.7,18.4,0.8,11.3,1012.9,0.0328,0.0309,45.3,24.0
Seoul,KR,2025-04-09,12.8,8.4,15.1,1.2,6.4,1011.2,0.0193,0.041,49.1,32.0
Seoul,KR,2025-04-10,12.9,8.7,17.1,0.0,8.0,1007.2,0.0307,0.033,57.9,36.2
Seoul,KR,2025-04-11,17.4,8.1,22.8,0.0,6.5,1009.7,0.0258,0.0339,40.3,22.8
Seoul,KR,2025-04-12,9.8,8.7,18.6,12.3,10.9,1005.8,0.00974,0.0372,42.6,7.92
Seoul,KR,2025-04-13,5.3,1.1,7.4,9.9,20.1,1000.0,0.0193,0.0296,18.0,7.71
Seoul,KR,2025-04-14,4.5,3.3,5.7,13.5,9.4,997.9,0.0165,0.0335,25.8,13.9
Seoul,KR,2025-04-15,9.3,2.3,12.5,0.0,9.1,1005.8,0.0243,0.0428,44.9,23.8
Seoul,KR,2025-04-16,17.4,6.4,20.7,1.6,7.9,1007.7,0.0235,0.0525,60.7,22.8
Seoul,KR,2025-04-17,19.9,15.8,22.3,,10.3,1005.7,0.0256,0.0467,68.1,30.2
Seoul,KR,2025-04-18,18.3,15.4,20.3,,12.2,1008.0,0.0156,0.0276,42.1,20.0
Seoul,KR,2025-04-19,13.8,12.1,17.2,,8.6,1009.4,0.0139,0.0343,22.6,12.4
Seoul,KR,2025-04-20,18.1,9.5,20.3,,9.5,1010.2,0.0234,0.0258,28.2,13.5
Seoul,KR,2025-04-21,21.9,14.2,22.6,,8.4,1013.7,0.0177,0.0178,19.2,9.17
Seoul,KR,2025-04-22,15.6,12.8,19.1,,9.0,1009.6,0.0173,0.0387,17.3,6.0
Seoul,KR,2025-04-23,16.8,10.9,22.0,0.0,9.0,1006.1,0.0191,0.0433,47.4,23.8
Seoul,KR,2025-04-24,13.6,11.2,20.1,0.0,10.3,1008.5,0.0135,0.039,55.1,23.7
Seoul,KR,2025-04-25,12.4,7.3,17.2,0.0,12.0,1015.1,0.0186,0.0379,38.1,9.64
Seoul,KR,2025-04-26,14.6,7.2,19.6,0.0,10.0,1017.6,0.0158,0.0436,28.2,6.5
Seoul,KR,2025-04-27,14.8,10.9,18.7,0.0,11.6,1014.7,0.0161,0.0429,36.1,11.0
Seoul,KR,2025-04-28,14.8,10.4,20.1,0.0,10.4,1010.1,0.0224,0.0351,38.3,20.4
Seoul,KR,2025-04-29,15.2,8.2,20.5,0.0,7.7,1012.1,0.0284,0.0388,43.7,17.2
Seoul,KR,2025-04-30,20.1,10.0,25.4,0.0,10.1,1012.5,0.0204,0.0395,34.4,13.2
Seoul,KR,2025-05-01,12.4,12.2,17.4,23.1,10.0,1006.8,0.0132,0.041,25.9,7.86
Seoul,KR,2025-05-02,13.7,8.2,16.9,0.0,10.5,1009.9,0.0149,0.0377,19.6,6.5
Seoul,KR,2025-05-03,10.7,10.1,13.3,9.2,9.1,1008.5,0.0159,0.0413,34.8,9.13
Seoul,KR,2025-05-04,13.9,8.2,19.3,0.0,12.3,1011.6,0.0184,0.0341,28.5,9.26
Seoul,KR,2025-05-05,12.0,9.6,15.5,1.9,7.1,1012.3,0.0148,0.0355,20.1,5.39
Seoul,KR,2025-05-06,14.7,8.5,19.0,0.0,9.0,1007.2,0.0182,0.0408,31.3,11.0
Seoul,KR,2025-05-07,14.9,10.2,20.2,0.0,7.4,1012.5,0.0221,0.0333,41.5,14.0
